time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.7246209313640064e-07,2.85854528937182e-07,10.002916281845636,6.282678323110231,0.0002625432362739488,0.0,-2.3625715075397998e-05,-5.022433791818117e-06,0.09720533571560444,-0.03637489865211123,0.01193964389675941,0.0,435.35801393866774,436.3556217156169,437.6837413376393,434.6464290698813
0.12000000000000001,-1.0911392414839516e-05,-1.9529262970247197e-05,10.01413119914836,6.281404998490807,0.0010943372827085796,0.0,-0.0004193524735928724,-0.0008403246690755612,0.27659794365635393,-0.0012188978727902967,0.017456664752281508,0.0,460.4621354201471,460.898179550013,460.7818109600712,463.5520578137766
0.18,-6.396349070186e-05,-0.0001087878903533177,10.034777457261944,6.2814411135716774,0.0018416540427690364,0.0,-0.0014479487797311342,-0.0021366317959074757,0.41157090518198064,0.004015517870791666,-0.0001226304649197471,0.0,448.7729894546678,447.34394723723346,447.6473880316717,448.0730478928311
0.23999999999999996,-0.00019106306763146079,-0.0002740594665921113,10.063702983282605,6.28181482871646,0.0017460786913172655,0.0,-0.0027832248144978537,-0.003338750495071369,0.5525551811325817,0.010323313844602257,-0.0047090394841854295,0.0,450.7112325079719,450.34049616417536,449.0506468391233,449.56186105405567
0.3,-0.00039612783940762953,-0.0005026017832522994,10.101604722423568,6.282135965217147,0.0015853976522652857,0.0,-0.0040279185286568545,-0.004224388622732637,0.7107507333585996,-0.007128445695491937,0.0011028143895143445,0.0,454.7805441548434,455.24580523676696,456.3468062217144,454.9517774985537
0.36000000000000004,-0.0006717086153584955,-0.0007800050066599817,10.147804713286247,6.281708339282801,0.0016693773427585157,0.0,-0.005165851751516766,-0.005067087138092734,0.8291700063805995,-0.007124405422300877,0.001986889471986877,0.0,443.3568939903222,443.42948428620997,443.09009054291124,443.090533197195
0.4200000000000001,-0.0010252532901577926,-0.0011242340849899233,10.205709090432192,6.281238973987101,0.0017063248984623414,0.0,-0.006628740189138405,-0.006463950922538302,1.100754403814048,-0.00925740982133399,-0.0022782577139623013,0.0,489.22487076163026,488.9072230653199,489.0958627736284,488.9371182008303
0.48000000000000015,-0.0014583280393033356,-0.0015540628672143903,10.27502867928649,6.281352866948819,0.0017370425788731936,0.0,-0.007801956828824878,-0.00787987229939964,1.2097891812423134,0.018013075566850265,0.0055784221635959644,0.0,439.82333907256765,440.47347951515303,440.6891770701697,442.93733072784505
0.5400000000000001,-0.001960395615303484,-0.0020577465681413856,10.348855274625798,6.28236263835614,0.0019921956970119226,0.0,-0.008961201846496148,-0.00881188177244433,1.251052966194447,0.014350799216845683,0.0014592766189719943,0.0,419.1368941636269,418.77871098931524,419.8785327207468,419.5606588280655
0.6000000000000002,-0.0025354722832581856,-0.002598847228870672,10.424861217545509,6.282894178361774,0.0021391436898152705,0.0,-0.01021878638972214,-0.00915786145034415,1.2824436273944606,-0.0053636894815624276,0.00435890934397556,0.0,415.5606286682567,415.8146495656685,417.48403693577205,415.76042360381246
0.6600000000000003,-0.0031917898316359884,-0.003154988582102101,10.503765154542627,6.282082785776435,0.0026783555227307687,0.0,-0.011698349827588909,-0.00942555423235921,1.347612672698575,-0.039620018814196384,0.016926652746475847,0.0,426.9438547764737,428.01458013664495,428.706259135401,425.7858440759646
0.7200000000000003,-0.003954550181494713,-0.0037527912140309194,10.58821816385819,6.280134967546786,0.003590883134375389,0.0,-0.013827978329041975,-0.010724832143651806,1.4673406845335697,-0.021032540980781306,0.011530580986781941,0.0,445.2954649916959,444.8537703360521,443.9977454491141,445.51948447390885
0.7800000000000004,-0.004845704075463365,-0.004450460950815835,10.675102941464884,6.278899461869457,0.004417284038471969,0.0,-0.01593949004750799,-0.012632755474595931,1.428867101353484,-0.01972454506531115,0.01791866287171705,0.0,392.4066929459509,392.99911432872284,392.72916175852447,392.8504086123247
0.8400000000000004,-0.005904598973999361,-0.005307772009035304,10.76523168750715,6.277729217389222,0.006025175880823852,0.0,-0.019506721218075312,-0.016071524790108583,1.5752327579178156,-0.01906677455065431,0.04035890643385096,0.0,451.3442800767163,453.15172600728357,454.47899225630715,454.53175278072456
0.9000000000000005,-0.007228561110682576,-0.006405510567791617,10.865637256088789,6.276619117571048,0.009161982776614508,0.0,-0.024954521744080995,-0.02064909542773802,1.7713334363810103,-0.017394814181488166,0.0691892448784693,0.0,467.67836854183605,469.91985084027704,468.71259623742134,468.8425823254601
0.9600000000000005,-0.008934457682999126,-0.007786046588354862,10.975227362244588,6.275729283829971,0.013658696081883193,0.0,-0.03235649084722511,-0.02546716581596255,1.881489514680872,-0.010140768031343943,0.0844982968884423,0.0,442.6937808496284,443.95594442995076,442.7530543697493,443.34952496850013
1.0200000000000005,-0.011257306373634394,-0.009511784771853419,11.096566494325032,6.274979031972467,0.018227074017933553,0.0,-0.04569895831933989,-0.03214055093586475,2.1626495215218005,-0.017708210551654308,0.0488384276033581,0.0,495.8665084755746,493.243735696943,494.3929480451141,493.835239266264
1.0800000000000005,-0.01441769081763205,-0.011627561066322277,11.230952710593984,6.273812068723089,0.02071645929178345,0.0,-0.05994733331502292,-0.03850507105585875,2.316584461531257,-0.02318105155325319,0.01974262837133285,0.0,459.2680320178776,456.9553684525155,458.452730212073,458.0177433961452
